ProMAX Data Export: List/Table - 213_hor-05_bottom
Area: 2021_training    Line: thubl_line213
  LINE_NO       CDP         Z
---------+---------+---------+---------+---------+---------+
      213         5   7990.00
      213        10   7990.00
      213        15   7990.00
      213        20   7990.00
      213        25   7990.00
      213        30   7990.00
      213        35   7990.00
      213        40   7990.00
      213        45   7990.00
      213        50   7990.00
      213        55   7990.00
      213        60   7990.00
      213        65   7990.00
      213        70   7990.00
      213        75   7990.00
      213        80   7990.00
      213        85   7990.00
      213        90   7990.00
      213        95   7990.00
      213       100   7990.00
      213       105   7990.00
      213       110   7990.00
      213       115   7990.00
      213       120   7990.00
      213       125   7990.00
      213       130   7990.00
      213       135   7990.00
      213       140   7990.00
      213       145   7990.00
      213       150   7990.00
      213       155   7990.00
      213       160   7990.00
      213       165   7990.00
      213       170   7990.00
      213       175   7990.00
      213       180   7990.00
      213       185   7990.00
      213       190   7990.00
      213       195   7990.00
      213       200   7990.00
      213       205   7990.00
      213       210   7990.00
      213       215   7990.00
      213       220   7990.00
      213       225   7990.00
      213       230   7990.00
      213       235   7990.00
      213       240   7990.00
      213       245   7990.00
      213       250   7990.00
      213       255   7990.00
      213       260   7990.00
      213       265   7990.00
      213       270   7990.00
      213       275   7990.00
      213       280   7990.00
      213       285   7990.00
      213       290   7990.00
      213       295   7990.00
      213       300   7990.00
      213       305   7990.00
      213       310   7990.00
      213       315   7990.00
      213       320   7990.00
      213       325   7990.00
      213       330   7990.00
      213       335   7990.00
      213       340   7990.00
      213       345   7990.00
      213       350   7990.00
      213       355   7990.00
      213       360   7990.00
      213       365   7990.00
      213       370   7990.00
      213       375   7990.00
      213       380   7990.00
      213       385   7990.00
      213       390   7990.00
      213       395   7990.00
      213       400   7990.00
      213       405   7990.00
      213       410   7990.00
      213       415   7990.00
      213       420   7990.00
      213       425   7990.00
      213       430   7990.00
      213       435   7990.00
      213       440   7990.00
      213       445   7990.00
      213       450   7990.00
      213       455   7990.00
      213       460   7990.00
      213       465   7990.00
      213       470   7990.00
      213       475   7990.00
      213       480   7990.00
      213       485   7990.00
      213       490   7990.00
      213       495   7990.00
      213       500   7990.00
      213       505   7990.00
      213       510   7990.00
      213       515   7990.00
      213       520   7990.00
      213       525   7990.00
      213       530   7990.00
      213       535   7990.00
      213       540   7990.00
      213       545   7990.00
      213       550   7990.00
      213       555   7990.00
      213       560   7990.00
      213       565   7990.00
      213       570   7990.00
      213       575   7990.00
      213       580   7990.00
      213       585   7990.00
      213       590   7990.00
      213       595   7990.00
      213       600   7990.00
      213       605   7990.00
      213       610   7990.00
      213       615   7990.00
      213       620   7990.00
      213       625   7990.00
      213       630   7990.00
      213       635   7990.00
      213       640   7990.00
      213       645   7990.00
      213       650   7990.00
      213       655   7990.00
      213       660   7990.00
      213       665   7990.00
      213       670   7990.00
      213       675   7990.00
      213       680   7990.00
      213       685   7990.00
      213       690   7990.00
      213       695   7990.00
      213       700   7990.00
      213       705   7990.00
      213       710   7990.00
      213       715   7990.00
      213       720   7990.00
      213       725   7990.00
      213       730   7990.00
      213       735   7990.00
      213       740   7990.00
      213       745   7990.00
      213       750   7990.00
      213       755   7990.00
      213       760   7990.00
      213       765   7990.00
      213       770   7990.00
      213       775   7990.00
      213       780   7990.00
      213       785   7990.00
      213       790   7990.00
      213       795   7990.00
      213       800   7990.00
      213       805   7990.00
      213       810   7990.00
      213       815   7990.00
      213       820   7990.00
      213       825   7990.00
      213       830   7990.00
      213       835   7990.00
      213       840   7990.00
      213       845   7990.00
      213       850   7990.00
      213       855   7990.00
      213       860   7990.00
      213       865   7990.00
      213       870   7990.00
      213       875   7990.00
      213       880   7990.00
      213       885   7990.00
      213       890   7990.00
      213       895   7990.00
      213       900   7990.00
      213       905   7990.00
      213       910   7990.00
      213       915   7990.00
      213       920   7990.00
      213       925   7990.00
      213       930   7990.00
      213       935   7990.00
