ProMAX Data Export: List/Table - 213_hor-03
Area: 2021_training    Line: thubl_line213
  LINE_NO       CDP         Z
---------+---------+---------+---------+---------+---------+
      213         5   3437.95
      213        10   3439.38
      213        15   3440.80
      213        20   3442.22
      213        25   3443.64
      213        30   3445.06
      213        35   3446.48
      213        40   3447.90
      213        45   3449.32
      213        50   3450.74
      213        55   3452.16
      213        60   3453.58
      213        65   3455.00
      213        70   3456.42
      213        75   3457.84
      213        80   3459.26
      213        85   3460.68
      213        90   3462.10
      213        95   3463.53
      213       100   3464.95
      213       105   3466.37
      213       110   3467.79
      213       115   3469.21
      213       120   3470.63
      213       125   3472.05
      213       130   3473.47
      213       135   3474.89
      213       140   3476.31
      213       145   3477.73
      213       150   3479.15
      213       155   3480.57
      213       160   3481.99
      213       165   3483.41
      213       170   3484.83
      213       175   3486.25
      213       180   3487.67
      213       185   3489.10
      213       190   3490.52
      213       195   3491.94
      213       200   3493.36
      213       205   3494.78
      213       210   3496.20
      213       215   3497.62
      213       220   3499.04
      213       225   3500.46
      213       230   3501.88
      213       235   3503.30
      213       240   3504.72
      213       245   3506.14
      213       250   3507.56
      213       255   3508.98
      213       260   3510.40
      213       265   3511.82
      213       270   3513.25
      213       275   3514.67
      213       280   3516.09
      213       285   3517.51
      213       290   3518.93
      213       295   3520.35
      213       300   3521.77
      213       305   3523.19
      213       310   3524.61
      213       315   3526.03
      213       320   3527.45
      213       325   3528.87
      213       330   3530.29
      213       335   3531.71
      213       340   3533.13
      213       345   3534.55
      213       350   3535.97
      213       355   3537.39
      213       360   3538.82
      213       365   3540.24
      213       370   3541.66
      213       375   3543.08
      213       380   3544.50
      213       385   3545.92
      213       390   3547.34
      213       395   3548.76
      213       400   3550.18
      213       405   3551.60
      213       410   3553.02
      213       415   3554.44
      213       420   3555.86
      213       425   3557.28
      213       430   3558.70
      213       435   3560.12
      213       440   3561.54
      213       445   3562.97
      213       450   3564.39
      213       455   3565.81
      213       460   3567.23
      213       465   3568.65
      213       470   3570.07
      213       475   3571.49
      213       480   3572.91
      213       485   3574.33
      213       490   3575.75
      213       495   3577.17
      213       500   3578.59
      213       505   3580.01
      213       510   3581.43
      213       515   3582.85
      213       520   3584.27
      213       525   3585.69
      213       530   3587.11
      213       535   3588.54
      213       540   3589.96
      213       545   3591.38
      213       550   3592.80
      213       555   3594.23
      213       560   3595.66
      213       565   3597.09
      213       570   3598.52
      213       575   3599.95
      213       580   3601.39
      213       585   3602.82
      213       590   3604.26
      213       595   3605.70
      213       600   3607.15
      213       605   3608.59
      213       610   3610.04
      213       615   3611.48
      213       620   3612.93
      213       625   3614.38
      213       630   3615.83
      213       635   3617.28
      213       640   3618.72
      213       645   3620.17
      213       650   3621.62
      213       655   3623.07
      213       660   3624.52
      213       665   3625.96
      213       670   3627.41
      213       675   3628.86
      213       680   3630.31
      213       685   3631.76
      213       690   3633.20
      213       695   3634.65
      213       700   3636.10
      213       705   3637.55
      213       710   3639.00
      213       715   3640.44
      213       720   3641.89
      213       725   3643.34
      213       730   3644.79
      213       735   3646.24
      213       740   3647.68
      213       745   3649.13
      213       750   3650.58
      213       755   3652.03
      213       760   3653.48
      213       765   3654.92
      213       770   3656.37
      213       775   3657.82
      213       780   3659.27
      213       785   3660.72
      213       790   3662.16
      213       795   3663.61
      213       800   3665.06
      213       805   3666.51
      213       810   3667.96
      213       815   3669.40
      213       820   3670.85
      213       825   3672.30
      213       830   3673.75
      213       835   3675.20
      213       840   3676.64
      213       845   3678.09
      213       850   3679.54
      213       855   3680.99
      213       860   3682.43
      213       865   3683.88
      213       870   3685.33
      213       875   3686.78
      213       880   3688.23
      213       885   3689.67
      213       890   3691.12
      213       895   3692.57
      213       900   3694.02
      213       905   3695.47
      213       910   3696.91
      213       915   3698.36
      213       920   3699.81
      213       925   3701.26
      213       930   3702.71
      213       935   3704.15
      213       940   3705.60
