ProMAX Data Export: List/Table - 213_hor-04
Area: 2021_training    Line: thubl_line213
  LINE_NO       CDP         Z
---------+---------+---------+---------+---------+---------+
      213         5   4840.44
      213        10   4843.14
      213        15   4845.85
      213        20   4848.55
      213        25   4851.25
      213        30   4853.96
      213        35   4856.66
      213        40   4859.37
      213        45   4862.07
      213        50   4864.77
      213        55   4867.48
      213        60   4870.18
      213        65   4872.89
      213        70   4875.59
      213        75   4878.29
      213        80   4881.00
      213        85   4883.70
      213        90   4886.41
      213        95   4889.11
      213       100   4891.82
      213       105   4894.52
      213       110   4897.22
      213       115   4899.93
      213       120   4902.63
      213       125   4905.34
      213       130   4908.04
      213       135   4910.74
      213       140   4913.45
      213       145   4916.15
      213       150   4918.86
      213       155   4921.56
      213       160   4924.26
      213       165   4926.97
      213       170   4929.67
      213       175   4932.38
      213       180   4935.08
      213       185   4937.79
      213       190   4940.49
      213       195   4943.19
      213       200   4945.90
      213       205   4948.60
      213       210   4951.31
      213       215   4954.01
      213       220   4956.71
      213       225   4959.42
      213       230   4962.12
      213       235   4964.83
      213       240   4967.53
      213       245   4970.23
      213       250   4972.94
      213       255   4975.64
      213       260   4978.35
      213       265   4981.05
      213       270   4983.75
      213       275   4986.46
      213       280   4989.16
      213       285   4991.87
      213       290   4994.57
      213       295   4997.28
      213       300   4999.98
      213       305   5002.68
      213       310   5005.39
      213       315   5008.09
      213       320   5010.80
      213       325   5013.50
      213       330   5016.20
      213       335   5018.91
      213       340   5021.61
      213       345   5024.32
      213       350   5027.02
      213       355   5029.72
      213       360   5032.43
      213       365   5035.13
      213       370   5037.84
      213       375   5040.54
      213       380   5043.25
      213       385   5045.95
      213       390   5048.65
      213       395   5051.36
      213       400   5054.06
      213       405   5056.77
      213       410   5059.47
      213       415   5062.17
      213       420   5064.88
      213       425   5067.58
      213       430   5070.29
      213       435   5072.99
      213       440   5075.69
      213       445   5078.40
      213       450   5081.10
      213       455   5083.81
      213       460   5086.51
      213       465   5089.22
      213       470   5091.92
      213       475   5094.62
      213       480   5097.33
      213       485   5100.03
      213       490   5102.74
      213       495   5105.44
      213       500   5108.14
      213       505   5110.85
      213       510   5113.55
      213       515   5116.21
      213       520   5118.82
      213       525   5121.39
      213       530   5123.91
      213       535   5126.39
      213       540   5128.82
      213       545   5131.20
      213       550   5133.54
      213       555   5135.83
      213       560   5138.08
      213       565   5140.28
      213       570   5142.44
      213       575   5144.55
      213       580   5146.61
      213       585   5148.63
      213       590   5150.65
      213       595   5152.67
      213       600   5154.69
      213       605   5156.71
      213       610   5158.73
      213       615   5160.75
      213       620   5162.77
      213       625   5164.79
      213       630   5166.81
      213       635   5168.82
      213       640   5170.84
      213       645   5172.86
      213       650   5174.88
      213       655   5176.90
      213       660   5178.92
      213       665   5180.94
      213       670   5182.96
      213       675   5184.98
      213       680   5187.00
      213       685   5189.01
      213       690   5191.03
      213       695   5193.05
      213       700   5195.07
      213       705   5197.09
      213       710   5199.11
      213       715   5201.13
      213       720   5203.15
      213       725   5205.17
      213       730   5207.19
      213       735   5209.21
      213       740   5211.22
      213       745   5213.24
      213       750   5215.26
      213       755   5217.28
      213       760   5219.30
      213       765   5221.32
      213       770   5223.34
      213       775   5225.36
      213       780   5227.38
      213       785   5229.40
      213       790   5231.42
      213       795   5233.43
      213       800   5235.45
      213       805   5237.47
      213       810   5239.49
      213       815   5241.51
      213       820   5243.53
      213       825   5245.55
      213       830   5247.57
      213       835   5249.59
      213       840   5251.61
      213       845   5253.63
      213       850   5255.64
      213       855   5257.66
      213       860   5259.68
      213       865   5261.70
      213       870   5263.72
      213       875   5265.74
      213       880   5267.76
      213       885   5269.78
      213       890   5271.80
      213       895   5273.82
      213       900   5275.83
      213       905   5277.85
      213       910   5279.87
      213       915   5281.89
      213       920   5283.91
      213       925   5285.93
      213       930   5287.95
      213       935   5289.97
      213       940   5291.99
